REGION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,FLOODS,ANNUAL_RAINFALL
region_68,955.77,802.32,579.31,464.31,107.21,55.13,43.62,8.08,443.69,405.12,394.98,826.14,NO,5085.68
region_69,780.06,759.43,552.11,327.77,215.37,44.34,7.92,15.65,340.76,376.1,610.82,573.23,NO,4603.5599999999995
region_70,930.61,849.6,609.69,543.97,237.62,64.21,53.45,31.81,413.95,378.79,618.27,664.98,NO,5396.949999999999
region_71,788.95,983.85,653.19,346.41,180.6,67.27,31.64,18.25,367.94,261.08,743.07,941.96,YES,5384.21
region_72,896.86,1185.85,524.12,328.85,210.19,65.93,51.27,4.16,131.69,539.35,542.82,735.25,YES,5216.339999999999
region_73,655.61,882.11,523.44,488.47,85.91,35.77,23.15,29.56,216.61,278.94,281.06,826.46,NO,4327.09
region_74,998.04,773.82,475.16,581.79,221.18,71.62,33.06,31.41,288.05,409.6,504.99,711.55,NO,5100.2699999999995
region_75,741.34,962.11,622.6,326.1,95.86,53.96,39.68,21.93,123.4,630.93,246.62,808.52,YES,4673.049999999999
region_76,802.06,828.4,508.2,399.58,123.3,40.69,15.91,0.56,401.82,357.91,322.7,537.62,NO,4338.75
region_77,788.56,854.5,711.95,523.29,88.03,21.98,8.75,8.4,360.06,451.15,568.37,680.66,NO,5065.700000000001
region_78,1022.6,891.09,605.61,328.13,97.89,44.09,52.12,8.15,163.36,411.9,645.52,951.93,YES,5222.390000000001
region_79,1165.88,1181.37,658.57,437.96,88.83,42.27,55.5,9.03,425.7,171.38,303.89,863.14,YES,5403.52
region_80,855.46,891.45,491.26,337.85,196.83,23.84,35.39,28.66,285.33,367.7,703.16,747.8,NO,4964.73
region_81,670.71,1084.15,652.96,334.69,198.2,51.0,39.56,24.74,493.46,421.87,560.25,862.89,NO,5394.4800000000005
region_82,1181.32,826.63,496.15,381.6,152.33,74.77,24.04,20.51,455.67,568.02,363.97,814.76,YES,5359.77
region_83,828.33,1025.01,577.82,515.21,193.87,34.55,14.51,32.36,177.59,623.72,686.19,786.23,YES,5495.390000000001
region_84,968.88,1052.76,515.96,556.26,182.35,36.46,32.83,5.29,410.24,600.26,480.07,734.09,YES,5575.45
region_85,1123.79,1077.25,745.47,421.84,173.99,44.96,4.41,24.66,176.45,616.47,339.41,958.7,YES,5707.4
region_86,1181.85,1153.33,572.01,444.96,226.51,51.01,13.11,8.34,280.13,505.11,624.72,571.51,YES,5632.590000000001
region_87,711.74,1129.52,630.13,558.17,127.02,35.48,23.99,23.45,203.52,163.63,313.51,789.35,YES,4709.51
region_88,964.59,959.95,485.9,594.98,157.33,52.27,56.31,20.42,130.39,635.08,794.83,582.63,YES,5434.68
region_89,912.9,1011.82,699.29,509.27,207.64,22.92,20.88,3.85,306.14,220.17,586.62,868.16,YES,5369.66
region_90,929.73,1006.71,469.22,544.54,103.55,27.24,30.76,16.43,283.76,585.18,469.92,659.81,YES,5126.8499999999985
region_91,887.41,768.73,506.29,574.76,88.93,28.85,15.59,17.37,146.22,190.66,483.16,934.77,YES,4642.739999999999
region_92,1189.12,707.61,629.23,437.33,161.78,48.37,34.29,6.61,152.69,218.9,755.47,591.56,YES,4932.960000000001
region_93,844.04,732.33,511.43,375.35,124.47,62.12,27.58,22.32,397.18,404.89,579.84,600.38,NO,4681.929999999999
region_94,613.76,1121.82,613.22,402.14,193.43,64.22,10.12,29.5,181.1,160.78,389.87,952.11,YES,4732.07
region_95,1130.49,980.63,567.27,379.99,152.7,37.18,14.47,12.45,154.64,378.54,239.53,822.88,YES,4870.7699999999995
region_96,884.47,1014.25,516.72,420.66,122.29,51.4,40.89,28.19,360.68,585.42,686.2,895.47,YES,5606.64
region_97,839.27,1053.09,736.45,442.51,70.13,51.47,4.44,22.33,415.26,240.03,235.21,504.27,YES,4614.459999999999
region_98,959.16,968.18,641.84,371.18,225.22,68.23,30.84,11.12,177.96,637.39,291.16,641.15,YES,5023.429999999999
region_99,934.56,1121.8,586.89,323.32,228.14,31.6,23.9,23.42,278.83,524.3,687.65,798.36,YES,5562.769999999999
region_100,674.44,925.01,467.19,588.16,158.17,24.12,28.49,11.84,249.55,561.23,555.37,534.57,NO,4778.139999999999
region_101,600.24,1003.08,564.84,549.71,196.42,35.89,15.43,10.21,242.73,597.62,401.42,658.11,NO,4875.7
region_102,920.07,944.79,672.01,421.88,146.99,39.91,13.09,4.84,303.56,289.71,240.87,529.85,NO,4527.57
region_103,1019.35,900.39,524.33,383.39,180.18,53.57,53.34,20.34,448.72,496.13,644.65,747.51,NO,5471.900000000001
region_104,802.59,726.19,645.1,364.9,148.4,45.57,15.19,27.98,182.89,555.88,627.51,541.36,NO,4683.56
region_105,1096.04,1145.72,460.78,354.58,108.31,51.84,58.93,26.05,376.88,450.8,647.78,663.58,YES,5441.29
region_106,680.49,968.41,692.9,397.13,203.17,59.22,8.29,6.75,297.6,385.36,585.28,987.38,YES,5271.9800000000005
region_107,744.55,1003.72,516.92,416.56,200.4,50.15,47.03,28.45,370.77,466.32,497.68,821.1,NO,5163.650000000001
region_108,951.11,932.33,646.03,358.08,236.01,39.72,54.46,29.98,441.66,605.55,315.82,735.04,NO,5345.79
region_109,789.11,1107.12,478.6,541.12,163.89,60.24,22.15,26.94,361.17,196.77,466.17,910.56,YES,5123.84
region_110,749.68,759.11,479.49,527.04,147.56,51.24,1.62,20.72,482.77,283.15,475.92,779.3,NO,4757.599999999999
region_111,927.2,1101.97,543.93,458.94,214.23,56.6,25.59,1.37,377.9,569.02,315.83,610.14,YES,5202.72
region_112,814.33,971.05,671.8,394.15,107.08,34.3,26.54,30.31,242.48,361.33,567.54,840.92,YES,5061.83
region_113,770.81,975.41,720.7,372.28,91.94,72.82,45.03,17.76,240.6,157.29,283.2,644.87,NO,4392.71
region_114,665.77,973.62,511.16,516.11,85.06,33.71,46.17,28.71,488.69,676.8,672.65,647.52,NO,5345.969999999999
region_115,900.52,896.6,508.99,418.42,121.81,74.48,47.13,1.86,314.48,374.89,397.37,842.18,NO,4898.73
region_116,735.71,828.57,653.0,456.81,132.48,51.32,13.85,27.78,184.0,548.28,596.69,573.64,NO,4802.13
region_117,865.81,899.95,636.72,394.23,153.49,28.75,20.32,20.51,266.09,528.64,460.81,874.97,NO,5150.290000000001
region_118,996.15,858.79,552.85,585.21,200.44,47.56,14.62,13.21,158.5,485.95,367.4,704.92,NO,4985.599999999999
region_119,1025.56,839.47,536.14,437.03,98.52,59.06,13.89,29.82,375.38,604.17,616.75,830.38,YES,5466.17
region_120,707.43,1045.5,651.72,442.52,86.64,60.63,17.55,2.24,357.01,392.87,259.73,867.95,YES,4891.79
region_121,659.71,1030.72,705.6,507.88,190.2,79.58,20.88,6.0,496.45,675.49,419.63,513.71,NO,5305.85
region_122,952.42,1069.94,626.22,423.35,153.19,36.83,18.67,17.82,499.19,255.62,648.27,548.11,YES,5249.63
region_123,899.49,754.16,749.25,488.45,121.36,51.49,10.84,18.12,149.88,421.87,692.9,754.1,NO,5111.91
region_124,923.1,1037.17,655.19,479.62,186.74,23.84,9.78,19.22,458.48,425.17,242.22,618.7,YES,5079.23
region_125,1172.11,704.89,640.52,333.18,186.94,47.52,43.6,19.38,444.42,375.79,596.13,615.68,NO,5180.16
region_126,664.98,1031.22,579.26,444.14,225.79,41.09,12.75,30.85,384.74,487.33,684.24,974.08,YES,5560.469999999999
region_127,933.17,992.74,483.0,431.92,188.08,38.36,54.14,1.69,347.44,130.59,730.46,877.66,YES,5209.25
region_128,1010.85,806.94,641.05,341.16,185.97,24.37,29.03,33.58,315.18,254.68,458.77,745.08,NO,4846.66
region_129,833.94,760.38,691.6,520.95,182.11,80.0,42.08,26.94,272.98,414.33,648.77,946.22,NO,5420.3
region_130,720.76,1144.38,627.4,533.86,103.38,48.96,22.31,16.45,177.65,361.53,647.42,618.76,YES,5022.860000000001
region_131,1162.91,1107.53,452.07,437.8,202.54,44.01,49.68,9.48,377.67,674.16,543.59,526.83,YES,5588.27
region_132,1040.82,1164.43,561.83,575.96,229.48,31.6,37.69,18.4,392.65,280.61,296.7,785.88,YES,5416.05
region_133,1076.66,858.71,563.98,576.87,82.75,61.63,32.94,16.9,167.86,147.04,647.97,801.65,YES,5034.96
region_134,1015.27,704.7,556.34,419.45,230.29,66.06,10.61,30.64,261.52,690.48,582.97,673.81,NO,5242.139999999999
region_135,957.71,722.02,646.8,401.59,118.07,23.09,55.75,2.91,204.54,196.91,772.98,650.05,NO,4752.42
region_136,930.04,1183.62,450.5,408.21,210.0,72.46,18.89,19.76,182.87,536.78,237.48,625.89,YES,4876.5
region_137,683.56,830.75,511.17,545.01,209.65,67.8,59.4,29.88,182.67,614.86,320.68,948.12,NO,5003.55
region_138,1171.53,1077.55,737.06,367.77,79.46,25.21,39.73,18.75,400.28,484.07,513.81,963.0,YES,5878.219999999999
region_139,728.32,868.64,717.92,554.18,171.91,35.71,59.66,7.98,255.92,294.29,429.88,816.23,NO,4940.639999999999
region_140,1172.84,1191.69,554.28,591.49,183.6,33.86,41.0,0.73,446.9,645.69,421.4,789.48,YES,6072.959999999999
region_141,1080.53,1194.97,674.07,575.81,164.16,28.67,22.03,24.92,434.0,364.39,723.12,934.42,YES,6221.09
region_142,687.02,922.77,574.12,435.66,102.09,62.49,43.74,12.16,392.68,260.4,471.66,660.04,NO,4624.829999999999
region_143,833.34,1153.67,478.01,356.18,151.87,76.79,41.25,34.01,388.97,400.48,277.49,676.26,YES,4868.320000000001
region_144,725.98,766.1,456.95,588.8,101.17,45.21,35.53,17.78,198.93,318.92,579.11,512.93,NO,4347.410000000001
region_145,674.92,916.01,599.88,580.09,147.99,72.09,25.31,16.95,300.11,160.4,404.44,717.31,NO,4615.5
region_146,1015.16,1009.44,571.84,408.8,125.01,58.73,34.52,10.77,377.83,155.81,409.64,762.26,YES,4939.81
region_147,813.87,957.74,640.01,551.86,159.6,30.28,34.28,26.5,157.22,285.52,329.93,612.3,NO,4599.11
region_148,963.16,743.99,523.03,504.77,165.98,73.19,20.28,25.52,181.78,699.96,570.75,941.82,YES,5414.2300000000005
region_149,789.76,879.06,680.43,555.85,190.63,66.61,6.48,16.34,362.21,248.94,529.95,858.21,NO,5184.47
region_150,1071.65,1145.3,577.85,317.65,79.58,65.68,35.75,25.14,399.71,548.85,744.19,768.02,YES,5779.370000000001
region_151,604.02,968.54,509.74,468.27,237.22,32.22,48.81,33.23,170.02,554.59,767.59,976.42,YES,5370.67
region_152,1065.49,877.48,535.13,320.29,207.05,72.21,21.57,16.52,225.96,280.4,407.51,502.22,NO,4531.830000000001
region_153,831.48,1170.2,455.46,365.93,76.13,22.49,36.4,25.83,283.76,337.95,547.45,928.14,YES,5081.219999999999
region_154,619.28,845.06,498.59,416.44,174.26,23.55,38.82,20.01,469.64,223.86,403.88,838.19,NO,4571.580000000001
region_155,686.78,1086.14,509.65,531.98,221.5,35.57,54.38,21.35,146.23,273.4,282.17,831.29,YES,4680.4400000000005
region_156,854.06,735.91,737.52,408.18,95.03,26.15,36.04,19.29,324.64,332.38,271.05,746.15,NO,4586.4
region_157,833.47,1148.48,468.72,552.93,229.1,70.35,14.65,0.76,387.47,571.33,497.22,935.62,YES,5710.1
region_158,879.96,932.53,463.49,324.45,98.76,71.66,10.65,7.57,430.42,300.44,291.81,572.01,NO,4383.75
region_159,1000.75,1085.66,745.01,532.98,192.71,45.49,42.81,9.66,403.16,242.75,315.55,658.13,YES,5274.66
region_160,958.86,1090.33,653.46,491.42,80.06,27.61,53.97,15.3,305.04,399.25,755.45,612.98,YES,5443.73
region_161,1055.63,965.72,573.78,473.93,219.64,72.35,22.57,5.67,167.48,333.89,273.92,903.17,YES,5067.75
region_162,1002.92,1111.63,480.17,425.0,122.09,61.91,27.74,12.68,390.16,154.71,536.63,996.48,YES,5322.119999999999
region_163,1126.74,1077.98,455.99,486.77,100.45,56.0,16.64,12.76,334.43,351.55,302.41,507.58,YES,4829.3
region_164,933.58,877.22,712.67,536.33,91.16,66.43,5.22,2.51,253.19,574.55,673.14,845.01,YES,5571.01
region_165,1067.85,1179.79,646.92,321.29,117.69,62.17,42.79,25.06,239.73,342.83,695.13,695.82,YES,5437.07
region_166,952.66,831.33,651.48,443.05,141.31,66.36,19.01,25.96,324.76,571.62,353.65,948.98,YES,5330.17
region_167,815.74,876.27,515.24,521.92,139.16,65.96,13.14,13.58,121.29,564.95,781.11,883.42,YES,5311.78
region_168,755.48,960.41,496.11,320.58,144.87,37.77,43.85,5.21,186.43,576.87,627.64,768.58,NO,4923.799999999999
region_169,1115.01,884.47,607.33,382.16,173.1,67.02,41.38,32.83,207.4,574.36,257.92,630.45,YES,4973.429999999999
region_170,808.77,1094.78,465.61,536.71,102.05,43.06,56.35,13.34,357.69,420.35,788.07,587.55,YES,5274.33
region_171,954.0,931.13,454.29,496.1,133.13,57.44,13.8,1.68,427.41,672.04,696.44,993.93,YES,5831.390000000001
region_172,745.78,863.29,534.52,591.18,180.69,54.15,33.75,19.0,209.36,305.21,712.9,681.38,NO,4931.21
region_173,697.75,1137.4,650.57,335.58,177.86,36.85,4.47,31.62,377.12,224.55,710.82,840.99,YES,5225.58
region_174,833.55,953.29,661.65,596.83,76.63,62.17,7.56,29.2,267.81,363.05,696.28,958.96,YES,5506.98
region_175,835.67,838.28,539.51,401.39,146.82,67.17,18.41,1.94,387.52,584.92,491.3,909.37,NO,5222.3
region_176,601.23,831.0,652.81,356.72,222.55,29.35,38.27,30.09,355.71,184.87,768.32,828.28,NO,4899.200000000001
region_177,1151.07,1002.0,599.21,328.17,169.78,51.36,44.36,4.76,183.98,668.95,794.67,613.19,YES,5611.5
region_178,1149.88,757.67,648.97,588.51,124.43,66.54,21.22,9.58,386.44,689.3,647.73,514.68,YES,5604.950000000001
region_179,1099.78,1025.47,479.21,418.21,197.28,58.86,41.94,34.84,170.4,280.71,527.59,579.63,YES,4913.920000000001
region_180,880.17,1107.0,539.4,545.86,146.96,49.08,3.58,10.07,454.73,202.39,788.57,773.18,YES,5500.990000000001
region_181,672.0,1163.85,535.46,575.1,176.88,24.65,38.04,19.96,382.12,294.52,314.33,562.56,NO,4759.469999999999
region_182,870.39,720.75,450.44,504.17,153.62,45.81,31.26,26.88,169.48,442.85,329.69,799.89,NO,4545.2300000000005
region_183,714.69,1199.95,623.1,536.44,169.72,64.17,43.66,33.33,246.51,552.37,330.66,708.89,YES,5223.49
region_184,758.08,907.31,470.59,470.56,206.96,55.66,30.07,0.74,254.15,495.49,471.28,563.91,NO,4684.799999999999
region_185,1054.1,1139.94,555.82,590.5,134.88,60.97,1.75,19.86,230.08,463.08,460.55,598.72,YES,5310.250000000001
region_186,619.08,950.31,509.67,444.86,89.52,56.8,14.61,29.1,203.85,667.56,318.52,984.06,YES,4887.9400000000005
region_187,915.72,1058.02,454.31,483.93,80.2,68.68,47.04,10.42,400.35,423.45,731.19,669.48,YES,5342.789999999999
region_188,664.49,832.18,576.94,487.34,229.81,26.72,41.24,22.51,297.6,141.65,249.98,973.09,NO,4543.55
region_189,1010.78,869.86,485.3,512.34,218.48,21.1,25.64,17.62,163.04,521.21,256.28,843.54,YES,4945.19
region_190,753.8,880.44,669.9,450.81,160.84,51.85,3.53,27.5,405.86,388.03,407.83,735.64,NO,4936.030000000001
region_191,610.75,798.44,625.82,530.7,122.24,79.92,48.89,3.49,208.81,552.22,788.13,721.67,NO,5091.08
region_192,1165.67,740.46,487.71,469.61,165.76,47.86,41.89,5.08,395.36,235.23,653.87,891.83,YES,5300.33
region_193,657.75,953.02,684.29,445.67,188.53,36.59,24.61,19.56,418.69,597.14,750.12,693.75,NO,5469.72
region_194,766.38,716.54,506.11,551.84,114.27,29.42,36.01,28.75,138.59,337.32,749.42,929.08,NO,4903.730000000001
region_195,807.36,957.8,732.16,504.24,74.06,46.46,28.3,24.98,351.66,240.86,517.78,727.0,NO,5012.66
region_196,704.6,1168.81,620.18,346.64,215.22,22.41,25.37,5.29,120.42,639.74,386.81,781.22,YES,5036.71
region_197,665.24,772.03,731.98,464.07,156.38,78.51,29.37,0.29,487.76,135.64,511.8,831.78,NO,4864.85
region_198,925.45,850.09,507.46,594.19,167.42,79.73,2.37,6.21,284.11,150.53,305.14,591.19,NO,4463.89
region_199,815.52,816.65,529.87,444.35,80.22,50.93,20.39,22.49,178.31,257.86,458.74,856.24,NO,4531.569999999999
region_200,921.88,718.2,569.69,570.71,79.44,32.07,21.64,19.17,214.41,456.91,586.99,637.45,NO,4828.5599999999995
region_201,866.81,939.37,539.95,353.75,147.0,50.65,6.11,2.32,296.11,299.51,777.56,962.79,YES,5241.930000000001
region_202,768.65,786.36,624.95,595.68,217.24,50.74,16.86,10.8,404.66,238.7,476.58,865.77,NO,5056.99
region_203,614.63,700.82,469.96,518.28,202.18,74.7,45.36,18.46,472.25,676.87,681.37,925.05,NO,5399.93
region_204,1061.44,831.25,590.01,353.96,208.43,28.3,39.24,29.39,462.82,416.25,347.84,932.11,YES,5301.039999999999
region_205,1175.59,886.27,700.75,571.42,87.34,43.29,21.64,20.76,429.33,625.89,444.86,585.3,YES,5592.44
region_206,887.29,992.93,684.19,350.01,91.93,46.7,52.59,32.99,260.32,163.78,573.73,538.2,NO,4674.66
region_207,882.3,992.46,671.83,515.34,138.06,36.83,1.56,16.0,180.89,496.95,451.55,586.9,NO,4970.669999999999
region_208,1122.69,784.49,458.51,552.96,227.61,36.26,36.49,27.79,281.17,435.72,485.53,978.62,YES,5427.84
region_209,751.76,787.68,618.93,367.96,172.92,44.05,3.96,7.06,308.14,312.54,378.61,969.05,NO,4722.66
region_210,1142.17,811.51,462.86,533.93,159.07,30.87,33.48,13.85,285.88,507.53,497.04,612.69,YES,5090.879999999999
region_211,651.43,796.57,709.72,540.93,155.79,49.63,14.83,22.14,321.55,691.93,784.91,821.76,NO,5561.1900000000005
region_212,811.19,796.56,530.87,560.67,172.02,50.64,18.33,15.11,280.74,537.96,670.42,527.13,NO,4971.64
region_213,1175.76,1124.75,561.79,369.81,73.17,46.94,46.1,32.97,493.65,350.12,787.02,846.08,YES,5908.16
region_214,892.12,806.94,495.07,345.79,118.84,32.4,8.68,1.41,195.39,481.21,343.13,744.78,NO,4465.76
region_215,629.75,782.09,640.66,346.27,163.41,29.69,15.5,15.27,210.44,539.11,700.38,968.16,NO,5040.7300000000005
region_216,940.82,1086.35,514.62,497.82,146.74,52.52,50.59,5.1,489.37,213.47,787.05,671.63,YES,5456.08
region_217,704.91,766.89,707.68,470.46,73.87,31.12,47.49,21.17,320.76,342.16,618.6,666.84,NO,4771.95
region_218,696.38,714.09,591.11,370.82,176.55,54.08,11.47,31.69,203.72,498.84,561.11,756.6,NO,4666.46
region_219,645.81,1146.93,689.45,513.82,162.6,64.48,43.26,2.45,209.69,583.59,509.53,898.2,YES,5469.81
region_220,1154.62,1052.15,587.32,358.56,164.13,61.29,34.17,4.54,429.12,462.59,641.27,633.78,YES,5583.54
region_221,931.0,995.97,480.69,434.75,205.11,57.58,24.1,19.75,275.02,483.15,581.62,740.31,NO,5229.049999999999
region_222,1179.87,1193.79,739.55,334.05,114.07,42.55,47.11,20.53,282.74,578.95,239.81,943.86,YES,5716.880000000001
